,KEGG_Map,Pathway Name,pvalue
260,map04060,Cytokine-cytokine receptor interaction,1.0
271,map04137,Mitophagy - animal,1.0
311,map04660,T cell receptor signaling pathway,1.0
269,map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",1.0
312,map05166,Human T-cell leukemia virus 1 infection,1.0
314,map05323,Rheumatoid arthritis,1.0
290,map04622,RIG-I-like receptor signaling pathway,1.0
266,map03420,Nucleotide excision repair,1.0
265,map03022,Basal transcription factors,1.0
264,map03450,Non-homologous end-joining,1.0
17,map01521,EGFR tyrosine kinase inhibitor resistance,1.0
261,map05219,Bladder cancer,1.0
318,map04120,Ubiquitin mediated proteolysis,1.0
307,map04064,NF-kappa B signaling pathway,1.0
244,map05321,Inflammatory bowel disease (IBD),1.0
194,map05231,Choline metabolism in cancer,1.0
239,map00472,D-Arginine and D-ornithine metabolism,1.0
107,map05163,Human cytomegalovirus infection,1.0
108,map00440,Phosphonate and phosphinate metabolism,1.0
110,map04933,AGE-RAGE signaling pathway in diabetic complications,1.0
111,map04215,Apoptosis - multiple species,1.0
112,map05135,Yersinia infection,1.0
115,map04658,Th1 and Th2 cell differentiation,1.0
42,map05216,Thyroid cancer,1.0
119,map03440,Homologous recombination,1.0
121,map04530,Tight junction,1.0
125,map05202,Transcriptional misregulation in cancer,1.0
126,map04672,Intestinal immune network for IgA production,1.0
128,map04650,Natural killer cell mediated cytotoxicity,1.0
129,map04659,Th17 cell differentiation,1.0
130,map04722,Neurotrophin signaling pathway,1.0
132,map00140,Steroid hormone biosynthesis,1.0
142,map00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,1.0
144,map03060,Protein export,1.0
147,map04122,Sulfur relay system,1.0
39,map05213,Endometrial cancer,1.0
105,map04014,Ras signaling pathway,1.0
151,map00564,Glycerophospholipid metabolism,1.0
101,map04070,Phosphatidylinositol signaling system,1.0
98,map00510,N-Glycan biosynthesis,1.0
55,map05143,African trypanosomiasis,1.0
50,map05162,Measles,1.0
58,map04621,NOD-like receptor signaling pathway,1.0
62,map04310,Wnt signaling pathway,1.0
63,map00514,Other types of O-glycan biosynthesis,1.0
64,map04620,Toll-like receptor signaling pathway,1.0
66,map00970,Aminoacyl-tRNA biosynthesis,1.0
70,map04150,mTOR signaling pathway,1.0
71,map00533,Glycosaminoglycan biosynthesis - keratan sulfate,1.0
75,map04623,Cytosolic DNA-sensing pathway,1.0
76,map03410,Base excision repair,1.0
79,map04514,Cell adhesion molecules (CAMs),1.0
80,map04218,Cellular senescence,1.0
47,map05220,Chronic myeloid leukemia,1.0
82,map05416,Viral myocarditis,1.0
83,map00565,Ether lipid metabolism,1.0
88,map05332,Graft-versus-host disease,1.0
91,map03030,DNA replication,1.0
94,map00450,Selenocompound metabolism,1.0
99,map05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),1.0
153,map04625,C-type lectin receptor signaling pathway,1.0
156,map05214,Glioma,1.0
157,map05218,Melanoma,1.0
207,map04061,Viral protein interaction with cytokine and cytokine receptor,1.0
208,map04370,VEGF signaling pathway,1.0
209,map04940,Type I diabetes mellitus,1.0
210,map00040,Pentose and glucuronate interconversions,1.0
214,map03430,Mismatch repair,1.0
217,map05217,Basal cell carcinoma,1.0
218,map04360,Axon guidance,1.0
219,map00601,Glycosphingolipid biosynthesis - lacto and neolacto series,1.0
27,map03040,Spliceosome,1.0
221,map05140,Leishmaniasis,1.0
26,map04550,Signaling pathways regulating pluripotency of stem cells,1.0
227,map04662,B cell receptor signaling pathway,1.0
228,map00982,Drug metabolism - cytochrome P450,1.0
230,map04380,Osteoclast differentiation,1.0
232,map05340,Primary immunodeficiency,1.0
233,map04979,Cholesterol metabolism,1.0
22,map03460,Fanconi anemia pathway,1.0
235,map04130,SNARE interactions in vesicular transport,1.0
237,map04666,Fc gamma R-mediated phagocytosis,1.0
30,map05221,Acute myeloid leukemia,1.0
201,map04668,TNF signaling pathway,1.0
195,map05210,Colorectal cancer,1.0
192,map03008,Ribosome biogenesis in eukaryotes,1.0
38,map00520,Amino sugar and nucleotide sugar metabolism,1.0
162,map05170,Human immunodeficiency virus 1 infection,1.0
37,map04210,Apoptosis,1.0
164,map00830,Retinol metabolism,1.0
166,map05310,Asthma,1.0
335,map05224,Breast cancer,1.0
169,map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1.0
170,map04330,Notch signaling pathway,1.0
175,map05203,Viral carcinogenesis,1.0
243,map05160,Hepatitis C,1.0
177,map05215,Prostate cancer,1.0
36,map05223,Non-small cell lung cancer,1.0
180,map04744,Phototransduction,1.0
181,map00785,Lipoic acid metabolism,1.0
182,map04512,ECM-receptor interaction,1.0
183,map04657,IL-17 signaling pathway,1.0
184,map05144,Malaria,1.0
35,map04270,Vascular smooth muscle contraction,1.0
32,map05330,Allograft rejection,1.0
191,map00592,alpha-Linolenic acid metabolism,1.0
178,map00130,Ubiquinone and other terpenoid-quinone biosynthesis,1.0
0,map00512,Mucin type O-glycan biosynthesis,1.0
