,Protein name,T Test
28,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase (EC 5.3.3.5) (Cholestenol Delta-isomerase) (Delta(8)-Delta(7) sterol isomerase) (D8-D7 sterol isomerase) (Emopamil-binding protein) (Sterol 8-isomerase)",0.009669864039337452
29,Bile acyl-CoA synthetase (BACS) (EC 6.2.1.7) (Bile acid-CoA ligase) (BA-CoA ligase) (BAL) (Cholate--CoA ligase) (Fatty acid transport protein 5) (FATP-5) (Solute carrier family 27 member 5) (Very long-chain acyl-CoA synthetase-related protein) (VLACS-related) (VLACSR),0.010234889656053391
30,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial (KAT/AadAT) (2-aminoadipate aminotransferase) (2-aminoadipate transaminase) (EC 2.6.1.39) (Alpha-aminoadipate aminotransferase) (AadAT) (Kynurenine aminotransferase II) (Kynurenine--oxoglutarate aminotransferase II) (Kynurenine--oxoglutarate transaminase 2) (EC 2.6.1.7) (Kynurenine--oxoglutarate transaminase II)",0.010587767114932712
31,Alpha-1-inhibitor 3 (Alpha-1-inhibitor 3 variant II) (Alpha-1-inhibitor III),0.010825207742086701
32,Glucosidase 1 (Protein LOC103692171),0.01096949748501519
33,"Thyroid hormone responsive (Thyroid hormone responsive protein, isoform CRA_a) (Thyroid hormone-inducible hepatic protein)",0.011927490752023233
34,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",0.011979650580305186
35,"Bifunctional epoxide hydrolase 2 (Epoxide hydrolase 2, cytoplasmic) (Epoxide hydrolase 2, cytoplasmic, isoform CRA_a)",0.012402875548104583
36,T-kininogen 1 (Alpha-1-MAP) (Major acute phase protein) (T-kininogen I) (Thiostatin) [Cleaved into: T-kininogen 1 heavy chain (T-kininogen I heavy chain) T-kinin T-kininogen 1 light chain (T-kininogen I light chain)],0.012806455363531956
37,Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain) Dipeptidyl peptidase 1 heavy chain (Dipeptidyl peptidase I heavy chain) Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)],0.012843572386295481
38,Beta-galactosidase (EC 3.2.1.23),0.01285269883174041
39,Hydroxypyruvate isomerase (EC 5.3.1.22),0.013761389367920316
40,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",0.014069953678606582
41,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (B10) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (RB13-6 antigen) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1) Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9)],0.015490687007692868
42,17-beta-hydroxysteroid dehydrogenase 13 (17-beta-HSD 13) (EC 1.1.-.-) (Short-chain dehydrogenase/reductase 9),0.015652295548145328
43,"Enoyl-CoA hydratase domain-containing protein 3, mitochondrial",0.016385431495133596
44,"Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I)",0.01688277322650615
45,Perilipin,0.017055993202796382
46,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial (HOT) (EC 1.1.99.24) (Alcohol dehydrogenase iron-containing protein 1) (ADHFe1)",0.017984230112500617
47,"Protein Hykk (Similar to RIKEN cDNA C630028N24 gene (Predicted), isoform CRA_b)",0.019240112619060418
48,Acyl-coenzyme A amino acid N-acyltransferase 2 (EC 2.3.1.-),0.020514816364607006
49,Aldehyde dehydrogenase,0.021299927583283595
50,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)",0.02148944698233974
51,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6,0.021697399702999547
52,Cytochrome P450 2A2 (EC 1.14.14.1) (CYPIIA2) (Cytochrome P450-UT-4) (Testosterone 15-alpha-hydroxylase),0.02191296430301002
53,"14-3-3 protein beta/alpha (Prepronerve growth factor RNH-1) (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein beta/alpha, N-terminally processed]",0.022050639253325725
54,Squalene synthase (SQS) (SS) (EC 2.5.1.21) (FPP:FPP farnesyltransferase) (Farnesyl-diphosphate farnesyltransferase),0.022091732497504353
55,Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha),0.022268809516304305
56,"RCG24013, isoform CRA_a (Sterol 26-hydroxylase, mitochondrial)",0.02402859149035159
57,3-hydroxyacyl-CoA dehydrogenase type-2 (Hydroxyacyl-Coenzyme A dehydrogenase type II) (Hydroxysteroid (17-beta) dehydrogenase 10),0.02574757863769627
58,"Protein Snrpd3 (RCG60635, isoform CRA_b)",0.02600120463756205
59,Alpha-actinin-4,0.026420906815817314
60,Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (Histidine protein kinase NDKB) (EC 2.7.13.3) (P18),0.02681842183193093
61,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D),0.027614751781295483
62,Glutathione synthetase (GSH synthetase) (GSH-S) (EC 6.3.2.3) (Glutathione synthase),0.02921142089105134
63,Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1),0.03081538391971047
64,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming) (EC 3.5.1.114) (Aminoacylase-3) (ACY-3) (Aspartoacylase-2),0.031318906560428225
65,NADH dehydrogenase [ubiquinone] 1 subunit C2,0.031357802883771504
66,"Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)",0.03153907209056903
67,Alpha-1-antiproteinase,0.03260256489446268
68,Bile acid-CoA:amino acid N-acyltransferase (BACAT) (BAT) (EC 2.3.1.65) (Glycine N-choloyltransferase) (Kan-1) (Long-chain fatty-acyl-CoA hydrolase) (EC 3.1.2.2),0.03399205457207836
69,Annexin,0.034892471997806325
70,L-lactate dehydrogenase (EC 1.1.1.27),0.03512891362133187
71,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial (EC 1.6.5.3) (EC 1.6.99.3) (Complex I-49kD) (CI-49kD) (NADH-ubiquinone oxidoreductase 49 kDa subunit)",0.03549749230213135
72,"Protein Gstt3 (Similar to Glutathione S-transferase, theta 3 (Predicted))",0.03694011520469815
73,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial (COX) (Coprogen oxidase) (Coproporphyrinogenase) (EC 1.3.3.3)",0.0370391057813893
74,"Catechol-O-methyltransferase domain containing 1 (Predicted), isoform CRA_a (Protein Comtd1)",0.04146177067616999
75,40S ribosomal protein S8,0.04274903250987256
76,Protein Ndufa13,0.04321066772863693
77,Acyl-coenzyme A oxidase,0.04469933245961739
78,"RCG56371 (Sepiapterin reductase) (Sepiapterin reductase (7,8-dihydrobiopterin:NADP+ oxidoreductase))",0.045323383315571134
79,"Keratin, type II cytoskeletal 8 (Cytokeratin endo A) (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)",0.045450583092696825
80,Thymidine phosphorylase (TP) (EC 2.4.2.4) (TdRPase),0.04554765334385704
81,"Protein Slc37a4 (Solute carrier family 37 (Glucose-6-phosphate transporter), member 4) (Solute carrier family 37 (Glycerol-6-phosphate transporter), member 4, isoform CRA_a)",0.04601039799707689
82,Alpha-tocopherol transfer protein (Alpha-TTP),0.046599737312868816
83,Protein Snx2 (Sorting nexin 2),0.04777074541627946
84,Vimentin,0.04806884588228023
85,Protein Acot13 (Thioesterase superfamily member 2 (Predicted)),0.048380056413918814
86,Protein LOC100362366,0.04992813557302613
87,Cystathionase (Cystathionine gamma-lyase) (Cystathionine gamma-lyase),0.050325348196589466
88,Protein Ttc38,0.051320955967483095
89,Cytochrome P450 2C11 (EC 1.14.14.1) (CYPIIC11) (Cytochrome P-450(M-1)) (Cytochrome P450-UT-2) (Cytochrome P450-UT-A) (Cytochrome P450H),0.05232176505520023
90,Uncharacterized protein (Ybx1 protein),0.054999201300306846
91,Proline synthetase co-transcribed (Predicted) (Protein Prosc),0.05513747619736805
92,Ig gamma-2A chain C region,0.05560550491759688
93,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),0.05611281668721569
94,"C-1-tetrahydrofolate synthase, cytoplasmic (Methylenetetrahydrofolate dehydrogenase (NADP+ dependent), methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthase, isoform CRA_b)",0.056160843143317284
95,"Protein Sec14l4 (Similar to SEC14 (S. cerevisiae)-like 2 (Predicted), isoform CRA_b)",0.056165022371864895
96,"Very long-chain acyl-CoA synthetase (VLACS) (VLCS) (EC 6.2.1.-) (Fatty acid transport protein 2) (FATP-2) (Fatty-acid-coenzyme A ligase, very long-chain 1) (Long-chain-fatty-acid--CoA ligase) (EC 6.2.1.3) (Solute carrier family 27 member 2) (THCA-CoA ligase) (Very long-chain-fatty-acid-CoA ligase)",0.0576924024064639
97,Complement C3 (RCG45082),0.05848859987821011
98,"Guanine deaminase (Guanine deaminase, isoform CRA_b)",0.05888673746585185
99,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (EC 3.1.3.-) (EC 3.6.1.1),0.05916551775082962
100,Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein),0.05954770302395717
101,"Catenin (Cadherin associated protein), alpha 1 (Catenin (Cadherin-associated protein), alpha 1, isoform CRA_b) (Protein Ctnna1)",0.06073170253166758
102,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic (HMG-CoA synthase) (EC 2.3.3.10) (3-hydroxy-3-methylglutaryl coenzyme A synthase)",0.06146684539890739
103,"Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12 (Protein Psmd12)",0.061776416338652204
104,Histidine-rich glycoprotein,0.0618832591552134
105,Sorbitol dehydrogenase (EC 1.1.1.14) (L-iditol 2-dehydrogenase),0.062091015396241005
106,Selenium-binding protein 1,0.06222439546964831
107,Enthoprotin (Protein Clint1),0.06290870753371129
108,Serine hydroxymethyltransferase (EC 2.1.2.1),0.06349327757886668
109,Endoplasmic reticulum resident protein 29 (ERp29) (Endoplasmic reticulum resident protein 31) (ERp31),0.06361299858328545
110,Poly(RC) binding protein 2 (Protein Pcbp2),0.06372232195522033
111,Glycine N-acyltransferase,0.06447831615817529
112,Cytochrome P450 2C6 (EC 1.14.14.1) (CYPIIC6) (Cytochrome P450 PB1) (PTF2),0.06539890422057933
113,Nicotinamide nucleotide transhydrogenase (Protein Nnt),0.06774353974308236
114,"Dehydrogenase/reductase (SDR family) member 1 (Dehydrogenase/reductase (SDR family) member 1, isoform CRA_b) (Protein Dhrs1)",0.06812904442694014
115,Carboxylic ester hydrolase (EC 3.1.1.-),0.06861969153923357
116,Alpha-N-acetylgalactosaminidase (EC 3.2.1.49) (Alpha-galactosidase B),0.06916375414440182
117,"Ketohexokinase (RCG62047, isoform CRA_a)",0.06919496521709811
118,Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (Serum aryldialkylphosphatase 1),0.07266979580669476
119,2'-deoxynucleoside 5'-phosphate N-hydrolase 1 (EC 3.2.2.-) (Deoxyribonucleoside 5'-monophosphate N-glycosidase) (c-Myc-responsive protein Rcl),0.07383844923050946
120,"Agmatinase, mitochondrial (EC 3.5.3.11) (Agmatine ureohydrolase) (AUH)",0.07384572005907805
121,"Protein Tgm2 (Tissue-type transglutaminase) (Transglutaminase 2, C polypeptide, isoform CRA_a)",0.07385527530652428
122,Protein Atp6v1a (RCG52629),0.07416412261942747
123,Estradiol 17-beta-dehydrogenase 11 (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase 11) (17-beta-HSD 11) (17bHSD11) (17betaHSD11) (17-beta-hydroxysteroid dehydrogenase XI) (17-beta-HSD XI) (17betaHSDXI) (Dehydrogenase/reductase SDR family member 8),0.07508741333322899
124,Carboxylic ester hydrolase (EC 3.1.1.-),0.07791290897176885
125,Selenocysteine lyase (EC 4.4.1.16),0.07801320953508713
126,"Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)",0.07817461904541816
127,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase),0.0786044151450167
128,Septin-2 (Vascular endothelial cell specific protein 11),0.07955784836215617
129,"3-ketoacyl-CoA thiolase, mitochondrial (Acetyl-Coenzyme A acyltransferase 2 (Mitochondrial 3-oxoacyl-Coenzyme A thiolase), isoform CRA_f)",0.08106704396720404
130,Epoxide hydrolase 1 (EC 3.3.2.9) (Epoxide hydratase) (Microsomal epoxide hydrolase),0.08205930371614832
131,Ig gamma-2B chain C region (Immunoglobulin heavy chain 1a),0.08290513884799953
132,"Aldo-keto reductase family 1, member C13 (Protein Akr1c12) (RCG62949)",0.08296913625873072
133,Protein Aldh8a1,0.08314060245255275
134,"Aspartyl aminopeptidase (Aspartyl aminopeptidase, isoform CRA_c) (Protein Dnpep)",0.08418027390497251
135,"Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)",0.08432347188465317
136,Transcriptional activator protein Pur-alpha,0.08483369470641783
137,"Eukaryotic translation initiation factor 4A1 (Eukaryotic translation initiation factor 4A1, isoform CRA_c) (Protein Eif4a1)",0.08490140754099909
138,Tumor protein D54 (Tumor protein D52-like 2),0.08518216861978711
139,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",0.08538264865070636
140,Tetratricopeptide repeat protein 36 (TPR repeat protein 36),0.08623436384059537
141,Pipecolic acid oxidase (Protein Pipox),0.08730099113499543
142,"Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) (p1B15) (p31) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]",0.08774247324229945
143,Complement C4 (Fragment),0.08810875837168305
144,Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Muscle-type aldolase),0.08859629250519362
145,Copper transport protein ATOX1 (ATX1 homolog protein Rah1) (Metal transport protein ATX1),0.08871321913645093
146,"Long-chain-fatty-acid--CoA ligase 1 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 1) (LACS 1) (Long-chain-fatty-acid--CoA ligase, liver isozyme)",0.08880072634442862
147,Protein Serpinf2,0.08887897915322165
148,"Histidine triad nucleotide binding protein 2 (Predicted), isoform CRA_a (Protein Hint2)",0.08963196148228735
149,Isopentenyl-diphosphate Delta-isomerase 1 (Isopentenyl-diphosphate delta isomerase),0.0898130598497364
150,60S ribosomal protein L27,0.08999534900032212
151,Protein Rrbp1,0.09056322149842197
152,"Propionyl coenzyme A carboxylase, beta polypeptide (Propionyl coenzyme A carboxylase, beta polypeptide, isoform CRA_b) (Propionyl-CoA carboxylase beta chain, mitochondrial)",0.09057108404564075
153,Protein Amdhd1,0.09155651453626537
154,Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain),0.0926194415328922
155,Contaminant,0.09345849618929979
156,"Acyl-coenzyme A synthetase ACSM3, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 3) (Butyrate--CoA ligase 3) (Butyryl-coenzyme A synthetase 3) (Middle-chain acyl-CoA synthetase 3) (SA rat hypertension-associated protein) (Protein SA)",0.09348243911262423
157,"Uncharacterized protein C2orf47 homolog, mitochondrial",0.0952478030584979
158,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT) [Cleaved into: 4-aminobutyrate aminotransferase, brain isoform 4-aminobutyrate aminotransferase, liver isoform]",0.0964466118141605
159,Calpastatin,0.09697737575255003
160,Vacuolar protein-sorting-associated protein 25 (ELL-associated protein of 20 kDa) (ESCRT-II complex subunit VPS25),0.09801933241546061
161,MICOS complex subunit Mic60,0.09885592616092828
162,Ubiquitin-like modifier-activating enzyme 1 (Ubiquitin-activating enzyme E1),0.09913932362344798
163,Glycine N-methyltransferase (EC 2.1.1.20),0.10097329854387796
164,Protein LOC100911959 (Ubiquitin specific protease 5 (Isopeptidase T) (Predicted)),0.10181756325558773
165,DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 (Predicted) (Protein Ddx58),0.10364866015401832
166,Protein S100-A9,0.10576640043378631
167,Beta-ureidopropionase (EC 3.5.1.6) (Beta-alanine synthase) (N-carbamoyl-beta-alanine amidohydrolase),0.1061775134852121
168,ATP-binding cassette sub-family D member 3,0.10675755831681259
169,Dimethylaniline monooxygenase [N-oxide-forming] (EC 1.14.13.8),0.10690343748334648
170,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein),0.10702025658746381
171,Histone H2A,0.10760859300107474
172,"Importin 7 (Predicted), isoform CRA_c (Protein Ipo7)",0.10766020226315576
173,"Tripeptidyl peptidase I (Tripeptidyl peptidase I, isoform CRA_d) (Tripeptidyl-peptidase 1)",0.10824556321460232
174,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",0.10966601989942065
175,3-oxo-5-beta-steroid 4-dehydrogenase,0.11016635836132886
176,Sodium/potassium-transporting ATPase subunit beta (Fragment),0.11110407742529162
177,Protein Abcg3l3,0.11132668312263196
178,Fibrinogen gamma chain,0.1125610505650789
179,Protein LOC684270 (RCG22622),0.11394428298957457
180,"Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)",0.1141230240851323
181,60S ribosomal protein L35,0.11618114859992595
182,Protein Pm20d1,0.1162155323872792
183,Voltage-dependent anion-selective channel protein 2 (VDAC-2) (B36-VDAC) (Outer mitochondrial membrane protein porin 2),0.1165857762535155
184,3-oxo-5-beta-steroid 4-dehydrogenase,0.11773266207885724
185,L-gulonolactone oxidase (LGO) (EC 1.1.3.8) (L-gulono-gamma-lactone oxidase) (GLO),0.11831799125996613
186,"Protein Vps26b (Similar to Vacuolar protein sorting 26 homolog (VPS26 protein homolog), isoform CRA_a) (Vps26b protein)",0.11944342339890468
187,78 kDa glucose-regulated protein (GRP-78) (Heat shock 70 kDa protein 5) (Immunoglobulin heavy chain-binding protein) (BiP) (Steroidogenesis-activator polypeptide),0.11953811271651409
188,"Glutaredoxin 5 homolog (S. cerevisiae) (Predicted), isoform CRA_b (Protein Glrx5)",0.12002403700985645
189,"Bifunctional purine biosynthesis protein PURH [Cleaved into: Bifunctional purine biosynthesis protein PURH, N-terminally processed] [Includes: Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3) (5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase) (AICAR transformylase) IMP cyclohydrolase (EC 3.5.4.10) (ATIC) (IMP synthase) (Inosinicase)]",0.12009997109021633
190,40S ribosomal protein S6,0.1210041715724668
191,"Maleylacetoacetate isomerase (RCG20683, isoform CRA_c)",0.12135575618326697
192,UDP-glucuronosyltransferase (EC 2.4.1.17),0.12139612355600912
193,"Peroxiredoxin 3 (Thioredoxin-dependent peroxide reductase, mitochondrial)",0.12247541846416321
194,"Nitrilase 1, isoform CRA_a (Nitrilase homolog 1)",0.12337273584762172
195,Aldose reductase (AR) (EC 1.1.1.21) (Aldehyde reductase),0.12419323311536948
196,Retinal dehydrogenase 1,0.125793431006784
197,Uncharacterized protein,0.12641574953879275
198,60S ribosomal protein L3 (L4),0.12650881575730444
199,Carbonic anhydrase 3 (EC 4.2.1.1) (Carbonate dehydratase III) (Carbonic anhydrase III) (CA-III),0.12681753995245762
200,"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",0.12750920877544286
201,Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase),0.12790670158489004
202,Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma),0.1286380438726364
203,"Glutamate dehydrogenase 1, mitochondrial (GDH 1) (EC 1.4.1.3) (Memory-related gene 2 protein) (MRG-2)",0.12949510775934325
204,"Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)",0.13041152924912194
205,"Farnesyl pyrophosphate synthase (RCG62519, isoform CRA_b)",0.13041315476782966
206,"Serine--pyruvate aminotransferase, mitochondrial (SPT) (EC 2.6.1.51) (Alanine--glyoxylate aminotransferase) (AGT) (EC 2.6.1.44)",0.13047720188057113
207,S-methylmethionine--homocysteine S-methyltransferase BHMT2,0.1310904804891485
208,Non-POU domain-containing octamer-binding protein (NonO protein),0.1325274883545288
209,Isochorismatase domain-containing protein 1 (Protein LOC103694869),0.1327293601816964
210,Hydroxymethylbilane synthase (Porphobilinogen deaminase),0.13371640263620374
211,Prosaposin (Sulfated glycoprotein 1) (SGP-1) [Cleaved into: Saposin-A Saposin-B-Val Saposin-B Saposin-C Saposin-D],0.1339023218216828
212,Haptoglobin,0.13474362450422248
213,Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MPF-2) ,0.13528494982710745
214,Complement component C9,0.13575808838248205
215,"Leucine-rich PPR motif-containing protein, mitochondrial (Leucine-rich PPR-motif containing, isoform CRA_b)",0.13657055139956847
216,Acyl-protein thioesterase 1 (APT-1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I),0.13731119619714718
217,Integrin beta-1 (Beta oligodendroglia) (Beta OL) (Fibronectin receptor subunit beta) (VLA-4 subunit beta) (CD antigen CD29),0.13734538238778757
218,"Cytochrome c-1 (Predicted), isoform CRA_c (Protein Cyc1)",0.14046022743402126
219,"Protein disulfide-isomerase A6 (RCG62282, isoform CRA_a)",0.14096855997528934
220,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 3.6.3.9) (Sodium pump subunit alpha-1),0.14332594577383273
221,Eukaryotic initiation factor 4A-II,0.1449324763474478
222,"Galactokinase 1 (Galactokinase 1, isoform CRA_c) (Protein Galk1)",0.1460291230565492
223,Alpha-mannosidase (EC 3.2.1.-),0.14605950352049749
224,Protein Uba6 (Similar to RIKEN cDNA 5730469D23 (Predicted)),0.14607371962044197
225,Cytochrome P450 2J3 (EC 1.14.14.1) (CYPIIJ3),0.14697783634797337
226,Transmembrane and coiled-coil domains protein 1 (Meg-2-like protein),0.1473659367548532
227,Protein Ndufb10 (RCG32945),0.14873152680237248
228,Ubiquitin carboxyl-terminal hydrolase (EC 3.4.19.12),0.14961903454180983
229,Fibrinogen beta chain (Liver regeneration-related protein LRRG036/LRRG043/LRRG189) [Cleaved into: Fibrinopeptide B Fibrinogen beta chain],0.15101611915121746
230,Alpha-methylacyl-CoA racemase (EC 5.1.99.4) (2-arylpropionyl-CoA epimerase) (2-methylacyl-CoA racemase),0.1519433533048282
231,"3-hydroxybutyrate dehydrogenase, type 1, isoform CRA_a (D-beta-hydroxybutyrate dehydrogenase, mitochondrial)",0.15286724917151753
232,Protein Itih4,0.1532197887314631
233,Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1),0.1539177267508251
234,Protein Ighm,0.15480706858934531
235,Proliferation-associated protein 2G4,0.15675608028515362
